name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Boston,2017-08-29,68,57.5,62.8,68,57.5,62.8,57.2,82.5,0,0,0,,0,0,,12.7,62,1024.1,49.6,9.9,112.5,9.7,4,,2017-08-29T06:06:24,2017-08-29T19:22:55,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-08-30,71.2,60.8,64.4,71.2,60.8,64.4,55.5,74.8,0.071,100,12.5,rain,0,0,19.7,15.8,50.4,1013.9,39.2,9.9,278.9,24,9,,2017-08-30T06:07:27,2017-08-30T19:21:15,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-08-31,79,59.9,68.9,79,59.9,68.9,51.3,55.2,0,0,0,,0,0,23,16,294.7,1010.5,25.3,9.9,234.7,20.2,8,,2017-08-31T06:08:30,2017-08-31T19:19:35,0.32,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-01,69.2,53,60.9,69.2,53,60.9,37.9,43.8,0,0,0,,0,0,28.3,20.6,305.7,1016.5,39.9,9.9,289.8,25,9,,2017-09-01T06:09:34,2017-09-01T19:17:53,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-02,68.1,52.5,60.4,68.1,52.5,60.4,41.8,51.5,0,0,0,,0,0,,13.4,293,1022.6,43.1,9.9,205,17.7,7,,2017-09-02T06:10:37,2017-09-02T19:16:12,0.38,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-03,63,56.9,59.3,63,56.9,59.3,55.5,87.8,0.267,100,50,rain,0,0,29.8,20.5,135.1,1014.8,75.7,6.9,134.3,11.5,4,,2017-09-03T06:11:40,2017-09-03T19:14:29,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-04,80.1,57.8,68,80.3,57.8,68,56.4,69.1,0,0,0,,0,0,25.3,19.4,233,1010.3,24.6,9.9,262.3,22.6,8,,2017-09-04T06:12:43,2017-09-04T19:12:47,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-05,87.2,65.9,74.2,90.7,65.9,75,64.7,73.7,0,0,0,,0,0,29.9,21.6,201.5,1008.4,28.7,9.9,253.4,21.9,8,,2017-09-05T06:13:46,2017-09-05T19:11:04,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-06,78,62.1,69,78,62.1,69,65.9,90.1,0.172,100,29.17,rain,0,0,,16.9,197.7,1011.4,65.2,7.2,99.7,8.8,3,,2017-09-06T06:14:50,2017-09-06T19:09:20,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-07,75.8,61.1,66.5,75.8,61.1,66.5,57.1,74.3,0.696,100,25,rain,0,0,31.1,16,261.4,1009.6,61.8,8.7,241,20.7,8,,2017-09-07T06:15:53,2017-09-07T19:07:36,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-08,74,58.7,65.4,74,58.7,65.4,49.9,59.3,0,0,0,,0,0,21.9,14.8,263.5,1016.7,34.1,9.9,249,21.5,8,,2017-09-08T06:16:56,2017-09-08T19:05:52,0.59,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-09,66.9,54.8,61.9,66.9,54.8,61.9,51.6,69.5,0,0,0,,0,0,,11.3,345.4,1022.3,27.4,9.9,237.5,20.5,8,,2017-09-09T06:17:59,2017-09-09T19:04:07,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-10,67,55.7,62.4,67,55.7,62.4,52.4,70.2,0.011,100,4.17,rain,0,0,18.3,12.6,349.7,1025.8,31.1,9.9,245.6,21.3,8,,2017-09-10T06:19:02,2017-09-10T19:02:22,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-11,79.1,55.6,67.1,79.1,55.6,67.1,48.2,52.8,0,0,0,,0,0,,13.6,300,1022.5,28.4,9.9,244.1,21,8,,2017-09-11T06:20:05,2017-09-11T19:00:37,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-12,84.8,60.5,72.6,82.7,60.5,72.1,51.5,50.4,0,0,0,,0,0,23,16.9,274.4,1014.2,31,9.9,246.9,21.3,8,,2017-09-12T06:21:09,2017-09-12T18:58:51,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-13,77.1,63.6,70.2,77.1,63.6,70.2,56.3,62.2,0.03,100,4.17,rain,0,0,,12.4,236.4,1011,30.7,9.8,249.4,21.4,8,,2017-09-13T06:22:12,2017-09-13T18:57:06,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-14,82.1,67.8,74.1,83.6,67.8,74.5,64.5,73.3,0.319,100,4.17,rain,0,0,65.5,16.9,233.4,1011.1,57.8,9.7,196.6,17,6,,2017-09-14T06:23:15,2017-09-14T18:55:20,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-15,77,66.1,70.8,77,66.1,70.8,67.6,90.2,0.213,100,20.83,rain,0,0,,13.7,132.2,1016.8,57.9,7.9,183.8,15.9,6,,2017-09-15T06:24:19,2017-09-15T18:53:34,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-16,72.3,63,66.7,72.3,63,66.7,65.3,95.6,0,0,0,,0,0,,7.8,74.8,1020.8,75.4,3.4,216.5,18.7,7,,2017-09-16T06:25:22,2017-09-16T18:51:48,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-17,72.2,62,65,72.2,62,65,63.7,95.7,0,0,0,,0,0,,10.2,83.5,1021,81.5,3.1,231.1,19.9,8,,2017-09-17T06:26:26,2017-09-17T18:50:02,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
Boston,2017-09-18,68,64.2,65.5,68,64.2,65.5,64.6,96.9,0,0,0,,0,0,,10.2,73.7,1021.5,83,4.7,180.2,15.6,6,,2017-09-18T06:27:29,2017-09-18T18:48:15,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,72509854704,KBED,KBOS,72509014739,72505914702"
